geo.name,chip.name,platform.design,annotation.db
gpl91,hgu95a,pd.hg.u95a,hgu95a.db
gpl92,hgu95b,pd.hg.u95b,hgu95b.db
gpl93,hgu95c,pd.hg.u95c,hgu95c.db
gpl94,hgu95d,pd.hg.u95d,hgu95d.db
gpl95,hgu95e,pd.hg.u95e,hgu95e.db
gpl96,hgu133a,pd.hg.u133a,hgu133a.db
gpl97,hgu133b,pd.hg.u133b,hgu133b.db
gpl570,hgu133plus2,pd.hg.u133.plus.2,hgu133plus2.db
gpl571,hgu133a2,pd.hg.u133a.2,hgu133a2.db
gpl3921,hthgu133a,pd.ht.hg.u133a,hthgu133a.db
gpl5175,huex10stv2,pd.huex.1.0.st.v2,huex10sttranscriptcluster.db
gpl6244,hugene10stv1,pd.hugene.1.0.st.v1,hugene10sttranscriptcluster.db
gpl8300,hgu95av2,pd.hg.u95av2,hgu95av2.db
gpl11532,hugene11stv1,pd.hugene.1.1.st.v1,hugene11sttranscriptcluster.db
gpl13667,hgu219,pd.hg.u219,hgu219.db
gpl16686,hugene20st,pd.hugene.2.0.st,hugene20sttranscriptcluster.db
gpl17692,hugene21st,pd.hugene.2.1.st,hugene21sttranscriptcluster.db
gpl6097,illuminahuman6v1,,illuminaHumanv1.db
gpl6102,illuminahuman6v2,,illuminaHumanv2.db
gpl6947,illuminahumanht12v3,,illuminaHumanv3.db
gpl10558,illuminahumanht12v4,,illuminaHumanv4.db
gpl6098,illuminahumanref8v1,,illuminaHumanv1.db
gpl6104,illuminahumanref8v2,,illuminaHumanv2.db
gpl6255,illuminahumanref8v2,,illuminaHumanv2.db
gpl6883,illuminahumanref8v3,,illuminaHumanv3.db
gpl13376,illuminahumanwg6v2,,illuminaHumanv2.db
gpl6884,illuminahumanwg6v3,,illuminaHumanv3.db
